Date,Comment
20120612043757Z,"""@Kewldood69\xa0i really wish I had been watching them all season, but I can't fucking find them on DirecTV. I'd feel cheap acting all excited now."""
20120612014408Z,"""And continuing on route 59 all the way to Nuevo Laredo"""
20120619191246Z,"""People dont seem to understand the point of what Sony is trying to do here, which is ok, I'll tell you.\n\xa0\nThe main reason they have not\xa0officially\xa0announced\xa0anything yet, is because they are more then likely currently working on something....They are not going to actually\xa0announce\xa0that something and show it off until they are satisified that they actually are ble to do something more powerful then \xa0PS3 why be like Nintendo and hype your newest console up, but then send a PR Rep who didnt even know if the Wii U was going to be 720 or 1080p and dodging questions about the hardware tech itself with an answer of ""Well, Entertainment is out main focus....""\n\xa0\n\xa0\nTwo, this report is bogus to begin with anyway. Microsoft and Sony....using the same graphics card? \xa0There would be no point because both the games on the consoles, even with console exclusives would look the same and I'm pretty sure Microsoft and Sonys main goal is to have better looking games then the other....not games that look the same but are on different systems."""
20120619175533Z,"""HE WILL NOT BE BILLED BY THE GRAND JURY IN ""TEXAS""FOR THIS.IM A TEXAN AND AM VERY PROUD OF OUR TRADITION FOR TREATING PEOPLE LIKE THIS AS HEROS.AND THAT'S WHAT HE IS....A HERO!"""
20120610060524Z,"""Thanks for sharing...just bought myself a hoodie, going to buy some more gear later, WP FTW!!!!! :D"""
,"""What the fuck hahahahahahahahahahahaha. Go shoot yourself in the head or go jump off a cliff. HAHAHAHAHAHAHA you fucking piece of shit hahahaha."""
20120611200542Z,"""Oh,  please quit.  You're scaring me!  C'mon sissy boy,  you know your boyfriend won't let you come out in the desert to play.  You wouldn't know what to do in the desert anyway.  If you haven't got your bf's schlong to suck on,  you wouldn't know what to do.  You just keep on sukin' and sit'n behind the keyboard talkin' shit.  That's all you liberal fags are good for!  heh, heh!"""
20120610055550Z,"""You're Anti-White because you hate yourself, you're unhappy, and you take it out on our entire race.\xa0Pathetic.\nYou say you are Anti-Racist, what you are is Anti-White. Anti-Racist is a codeword for Anti-White.The GENOCIDE of an entire race is tolerated, but the genocide of jungle savages is guarded with impunity!\xa0You sick, sick ""anti-racists"" are a death cult, anti-racist is a code word for anti-white."""
20120529172656Z,"""Trent is just begging to have the drool slapped off his brown chin"""
20120609211856Z,"""@fresh2deff @Trey YOU are the idiot fresh 2 deff and probably a friend of Treys since you never posted here before this. Storm and everyone else who is offended by this inhuman loser are regular posters. So you can come here and Tell us how to think? Your the real loser along with Chris and Trey."""
,"""And once again, we see the ""love"" inherent in religion, fervently hoping that the end of the world will come and smite everyone who doesn\\'t believe in the same fairy tales that you do.\\n\\nHow very Christian of you. \\n\\nAnd don\\'t be silly. You and every other religious zealot relishes in the opportunity to judge and deem themselves superior to all others. \\n\\nPeople such as neiman and yourself are the exact reason that church needs to be separated from state. \\n\\nUntil there are no more religions. \\n\\nUnfortunately, given the history of every religion, it\\'s quite likely that religion will kill us all soon anyway. Not your much-hoped-for rapture, of course, which is simply a spooky story for simpletons, but real, actual world-ending death. \\n\\nUnfortunately, as there is nothing after death, you won\\'t be able to gloat."""
20120610075352Z,"""And you're another puppet of the Marxists spouting the same anticapitalist ""fair share""\xa0nonsense as your forebears a century ago, with your ironic, ""look how intellectual I am"" granny-glasses and poorly-grown facial hair, whining about ""Faux News"" and the Koch bros, living in terror of long-dead robber barons and\xa0the ""corporate oligarchy"" and rubbing one daily\xa0out to your well-used copy of Norma Rae, then patting yourself on the back for being one of the ""smart people"" who ""gets it"".\n\nWhy don't you pack it in, hit the bricks, don't let the door hit you in the ass on the way out because nobody's buying your constant insults, effete superiority\xa0or\xa0tired leftist garbage here.\n\n...and you can jam that commie fist up your fudgehole for good measure.\xa0 Just try not to enjoy it too much.\xa0\n\n\n\n\nSorry to be so indelicate\xa0folks, I've had it with these lefty morons.\xa0 They don't even make a token effort at factual debate anymore, it's nothing but ""you're so stupid"", ""you're a racist"" and various assorted\xa0leftist cliches about ""corporate overlords"" and ""fair share"", etc..\xa0that were tired and\xa0laughable to everyone but the densest of college freshmen\xa050 years ago."""
20120609193621Z,"""As comparatively wealthy as FDR was, I don't think he ever had five.\n\nHe had the Hudson River mansion, and the vacation place at Campobello.\n\nWhere were the other three?"""
20120611212333Z,"""The romney people will squeeze as much blood as they can get from that turnip as they like all republicans cannot stand on substance, integrity or a positive track record.\xa0 Lies are really all they have as they are on the wrong side of all the issues."""
20120502191838Z,"""genomin\nso many tough guys here! there is a reason he is a boxer and you are just a keyboard warrior.\n=================================\n\nIs there a reason why he's ducking Pacquiao?"""
20120502192628Z,"""You are such an incredibly ignorant piece of"""
20120619145613Z,"""How about we accept facts and patiently wait for you to back up your claim."""
20120529154523Z,"""I read that, the man who took the pictures in Iraq still has a copy on his wall, but hey, don't forget Danny the Syrian, CNN has a history this kind of thing"""
20120611190626Z,"""what the fuck\nare you fu king kidding us,\nwe all around the jave one request : xperia play 2 , but sony never care, never hear us,\nwhat that announcement can be? another fucken phone like xperia s !\n\nwe neeeeeeed xperia play 2 , CAN YOU HEAR US SONY ?"""
20120619225707Z,"""Boy, you are puerile, aren't you?"""
,"""What a load of codswallop, you tell me that when my ankle starts to itch in the middle of the night, I get pleasure out of rubbing it raw, whilst trying not to wake the Mrs? Another complete and utter waste of money, that could have been spent on medical research into life threatning illness's."""
,"""They're against abortions in the case of rape because Jesus was conceived by God raping Mary."""
,"""@noBjustRyan @skywaker9 (David) Yeah, streaming them out. My bad, thought you were asking sky about the jurisdiction piece"""
20120320213820Z,"""NO....YoU An iDiot..."""
20120610090959Z,"""So glad to hear you and daughter doing better. Getting sick sucks. Will still check in. Family can be great, can't it?"""
,"""She isn't THAT annoying....give her a break, that's a low blow.\\xc2\\xa0"""
,"""Yes I would whore and I'll fuck you in your stinking black shitter as well cunt rot whore......Try washing your fuck hole slut your cunt slime fucking stinks"""
,"""You are a drone  -  Go back to your complaining and hating - dung beetle."""
20120529025321Z,"""Like if you are a Rangers fan."""
,"""@purporter I didn't call it a joke, so I guess you aren't able to read much of anything either."""
20120609205406Z,"""Why does the SSN on Obama Selective Service card point to a state he never lived in and the name Jean Ludwig?"""
